gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;operator;department;monthly_cost_mad;total_cost_mad;plan;roaming_flag;data_usage_gb;quota_gb;over_quota_flag;anomaly_flag;risk_proba;risk_score_100;risk_level;future_cost_mad;future_cost_pred_mad;alert_flag;recommendation
Male;0;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;49.95;587.45;0;Maroc Telecom;Commercial;499.5;5874.5;L;0;27.77;25;1;0;0.06;6.0;Faible;522.38;550.08;1;Proposer forfait supérieur
Male;0;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);18.95;326.8;0;inwi;Commercial;189.5;3268.0;M;0;6.33;12;0;0;0.005;0.5;Faible;159.51;189.05;0;RAS
Male;0;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);100.35;5681.1;0;inwi;IT;1003.5;56811.0;XL;0;50.8;50;1;0;0.1175;11.8;Faible;1042.64;1053.03;1;Proposer forfait supérieur
Male;0;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.7;5036.3;1;Maroc Telecom;Support;1037.0;50363.0;XL;0;53.28;50;1;0;0.86;86.0;Critique;1084.09;1086.87;1;Proposer upgrade forfait + vérifier usage
Male;0;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105.5;2686.05;0;Maroc Telecom;Finance;1055.0;26860.5;XL;0;49.52;50;0;0;0.47;47.0;Moyen;1075.41;1054.79;0;RAS
Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);113.25;7895.15;0;Maroc Telecom;Support;1132.5;78951.5;XL;0;58.74;50;1;0;0.01;1.0;Faible;1168.92;1182.08;1;Proposer forfait supérieur
Female;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.65;1022.95;0;Maroc Telecom;Direction;206.5;10229.5;M;1;17.61;12;1;1;0.01;1.0;Faible;319.77;332.68;1;Vérifier roaming + limiter options
Male;0;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);106.7;7382.25;0;Orange Maroc;Direction;1067.0;73822.5;XL;0;57.45;50;1;0;0.0725;7.2;Faible;1158.6;1116.86;1;Proposer forfait supérieur
Female;0;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55.2;528.35;1;Maroc Telecom;Commercial;552.0;5283.5;XL;0;28.09;50;0;0;0.1975;19.8;Faible;582.21;552.64;0;RAS
Female;0;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;90.05;1862.9;0;Maroc Telecom;Commercial;900.5;18629.0;XL;1;44.18;50;0;0;0.15;15.0;Faible;1025.1;976.58;0;RAS
Male;1;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39.65;39.65;1;Orange Maroc;Support;396.5;396.5;L;0;20.81;25;0;0;0.915;91.5;Critique;396.17;397.21;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19.8;202.25;0;Maroc Telecom;IT;198.0;2022.5;M;0;6.97;12;0;0;0.0125;1.2;Faible;191.51;197.67;0;RAS
Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.15;20.15;1;Maroc Telecom;Commercial;201.5;201.5;M;0;8.64;12;0;0;0.875;87.5;Critique;197.28;201.66;1;Surveiller la ligne + analyser causes
Female;0;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);59.9;3505.1;0;Maroc Telecom;IT;599.0;35051.0;XL;0;24.06;50;0;0;0.01;1.0;Faible;587.38;597.54;0;RAS
Male;0;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);59.6;2970.3;0;Orange Maroc;Commercial;596.0;29703.0;XL;0;31.1;50;0;0;0.075;7.5;Faible;605.78;595.95;0;RAS
Female;0;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);55.3;1530.6;0;inwi;IT;553.0;15306.0;XL;0;26.64;50;0;0;0.05;5.0;Faible;551.03;552.96;0;RAS
Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.35;4749.15;1;Maroc Telecom;Finance;993.5;47491.5;XL;0;51.53;50;1;0;0.755;75.5;Élevé;1043.22;1043.47;1;Proposer upgrade forfait + vérifier usage
Male;0;Yes;Yes;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30.2;30.2;1;Orange Maroc;RH;302.0;302.0;L;0;15.46;25;0;0;0.8175;81.8;Critique;318.94;302.58;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);90.25;6369.45;0;Orange Maroc;RH;902.5;63694.5;XL;0;42.09;50;0;0;0.0;0.0;Faible;910.79;901.29;0;RAS
Female;0;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64.7;1093.1;1;Maroc Telecom;Commercial;647.0;10931.0;XL;0;32.95;50;0;0;0.7275;72.8;Élevé;650.87;647.53;1;Surveiller la ligne + analyser causes
Female;1;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);96.35;6766.95;0;Orange Maroc;IT;963.5;67669.5;XL;0;46.03;50;0;0;0.0225;2.2;Faible;961.09;962.47;0;RAS
Male;1;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);95.5;181.65;0;Maroc Telecom;Commercial;955.0;1816.5;XL;1;52.72;50;1;1;0.2525;25.2;Moyen;1106.76;1082.29;1;Vérifier roaming + limiter options
Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;66.15;1874.45;0;Maroc Telecom;Finance;661.5;18744.5;XL;0;30.54;50;0;0;0.035;3.5;Faible;656.27;661.28;0;RAS
Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20.2;20.2;0;inwi;Commercial;202.0;202.0;M;1;8.69;12;0;0;0.1325;13.2;Faible;327.14;278.0;0;RAS
Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);45.25;45.25;0;inwi;Commercial;452.5;452.5;L;0;19.58;25;0;0;0.1925;19.2;Faible;486.74;452.53;0;RAS
Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);99.9;7251.7;0;inwi;Commercial;999.0;72517.0;XL;0;46.65;50;0;0;0.0175;1.8;Faible;986.74;997.76;0;RAS
Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.7;316.9;1;Maroc Telecom;Support;697.0;3169.0;XL;0;34.94;50;0;0;0.4675;46.8;Moyen;693.1;697.71;0;RAS
Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);74.8;3548.3;0;Maroc Telecom;RH;748.0;35483.0;XL;0;33.66;50;0;0;0.06;6.0;Faible;734.52;747.19;0;RAS
Male;0;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106.35;3549.25;1;Orange Maroc;Support;1063.5;35492.5;XL;0;52.61;50;1;0;0.5975;59.8;Élevé;1061.53;1113.35;1;Proposer upgrade forfait + vérifier usage
Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97.85;1105.4;1;Maroc Telecom;RH;978.5;11054.0;XL;0;50.22;50;1;0;0.9475;94.8;Critique;1063.78;1029.14;1;Proposer upgrade forfait + vérifier usage
Male;0;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;49.55;475.7;0;Maroc Telecom;Commercial;495.5;4757.0;L;0;23.5;25;0;0;0.07;7.0;Faible;493.25;495.65;0;RAS
Female;0;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);69.2;4872.35;0;Orange Maroc;Commercial;692.0;48723.5;XL;1;27.99;50;0;0;0.01;1.0;Faible;770.91;766.01;0;RAS
Female;0;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.75;418.25;0;Maroc Telecom;IT;207.5;4182.5;M;0;14.38;12;1;0;0.0325;3.2;Faible;227.67;258.04;1;Proposer forfait supérieur
Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);79.85;4861.45;0;inwi;Commercial;798.5;48614.5;XL;1;40.72;50;0;0;0.0275;2.8;Faible;909.5;873.94;0;RAS
Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;76.2;981.45;0;Maroc Telecom;Commercial;762.0;9814.5;XL;1;38.94;50;0;0;0.1325;13.2;Faible;813.16;838.51;0;RAS
Female;0;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84.5;3906.7;0;Orange Maroc;Finance;845.0;39067.0;XL;0;41.55;50;0;0;0.2075;20.8;Moyen;851.17;844.66;0;RAS
Male;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;49.25;97.0;0;Maroc Telecom;IT;492.5;970.0;L;0;27.06;25;1;0;0.1725;17.2;Faible;557.09;543.25;1;Proposer forfait supérieur
Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80.65;144.15;1;Orange Maroc;IT;806.5;1441.5;XL;0;43.14;50;0;0;0.89;89.0;Critique;819.94;807.76;1;Surveiller la ligne + analyser causes
Male;0;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);79.75;4217.8;0;Orange Maroc;Direction;797.5;42178.0;XL;0;42.99;50;0;0;0.0075;0.8;Faible;778.19;797.74;0;RAS
Female;0;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);64.15;4254.1;0;Maroc Telecom;Commercial;641.5;42541.0;XL;0;32.88;50;0;0;0.0575;5.8;Faible;625.17;640.95;0;RAS
Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;90.25;3838.75;0;inwi;IT;902.5;38387.5;XL;0;41.0;50;0;0;0.19;19.0;Faible;917.12;901.72;0;RAS
Female;0;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.1;1426.4;1;inwi;RH;991.0;14264.0;XL;1;50.77;50;1;1;0.615;61.5;Élevé;1137.84;1117.38;1;Proposer upgrade forfait + vérifier usage
Female;1;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);69.5;1752.65;0;inwi;Commercial;695.0;17526.5;XL;0;35.55;50;0;0;0.06;6.0;Faible;673.0;695.4;0;RAS
Female;1;Yes;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);80.65;633.3;1;inwi;Support;806.5;6333.0;XL;0;38.68;50;0;0;0.65;65.0;Élevé;785.9;806.87;1;Surveiller la ligne + analyser causes
Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);74.85;4456.35;0;Orange Maroc;IT;748.5;44563.5;XL;0;35.02;50;0;0;0.0325;3.2;Faible;762.55;747.62;0;RAS
Male;1;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.45;1752.55;1;inwi;Finance;954.5;17525.5;XL;0;49.35;50;0;0;0.875;87.5;Critique;968.29;955.24;1;Surveiller la ligne + analyser causes
Female;0;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);99.65;6311.2;0;Maroc Telecom;Support;996.5;63112.0;XL;0;49.6;50;0;0;0.1125;11.2;Faible;998.42;995.98;0;RAS
Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;108.45;7076.35;0;Maroc Telecom;IT;1084.5;70763.5;XL;0;53.05;50;1;0;0.07;7.0;Faible;1148.63;1133.57;1;Proposer forfait supérieur
Female;0;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.95;894.3;0;Maroc Telecom;Finance;249.5;8943.0;M;0;17.49;12;1;0;0.0025;0.2;Faible;277.29;299.86;1;Proposer forfait supérieur
Female;0;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);107.5;7853.7;0;Maroc Telecom;Direction;1075.0;78537.0;XL;0;55.76;50;1;0;0.05;5.0;Faible;1095.05;1124.48;1;Proposer forfait supérieur
Female;0;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100.5;4707.1;0;Maroc Telecom;Commercial;1005.0;47071.0;XL;0;51.55;50;1;0;0.175;17.5;Faible;1020.37;1054.88;1;Proposer forfait supérieur
Male;0;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89.9;5450.7;0;Maroc Telecom;Finance;899.0;54507.0;XL;0;48.61;50;0;0;0.1375;13.8;Faible;909.26;899.18;0;RAS
Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);42.1;2962.0;0;inwi;IT;421.0;29620.0;L;0;22.04;25;0;0;0.0125;1.2;Faible;413.8;420.19;0;RAS
Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);54.4;957.1;0;Maroc Telecom;IT;544.0;9571.0;XL;0;25.09;50;0;0;0.0575;5.8;Faible;552.1;544.02;0;RAS
Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94.4;857.25;1;Maroc Telecom;Finance;944.0;8572.5;XL;0;46.03;50;0;0;0.8025;80.2;Critique;949.01;944.46;1;Surveiller la ligne + analyser causes
Female;0;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;75.3;244.1;0;Orange Maroc;Support;753.0;2441.0;XL;0;39.85;50;0;0;0.1675;16.8;Faible;731.38;754.12;0;RAS
Male;0;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;78.9;3650.35;0;Maroc Telecom;RH;789.0;36503.5;XL;0;41.32;50;0;0;0.055;5.5;Faible;818.9;789.13;0;RAS
Female;0;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;79.2;2497.2;0;inwi;Support;792.0;24972.0;XL;0;40.94;50;0;0;0.015;1.5;Faible;800.65;792.38;0;RAS
Female;0;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.15;930.9;0;Maroc Telecom;Direction;201.5;9309.0;M;0;6.66;12;0;0;0.0;0.0;Faible;177.61;200.28;0;RAS
Male;0;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;79.85;887.35;0;inwi;RH;798.5;8873.5;XL;0;42.37;50;0;0;0.105;10.5;Faible;776.95;799.52;0;RAS
Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;49.05;49.05;0;inwi;Finance;490.5;490.5;L;0;24.33;25;0;0;0.1875;18.8;Faible;514.26;491.02;0;RAS
Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20.4;1090.65;0;Maroc Telecom;Commercial;204.0;10906.5;M;0;12.0;12;0;0;0.015;1.5;Faible;206.7;203.62;0;RAS
Male;1;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111.6;7099.0;0;Maroc Telecom;Direction;1116.0;70990.0;XL;0;53.31;50;1;0;0.0675;6.8;Faible;1203.37;1164.9;1;Proposer forfait supérieur
Male;0;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24.25;1424.6;0;inwi;Support;242.5;14246.0;M;1;18.02;12;1;1;0.005;0.5;Faible;392.19;368.24;1;Vérifier roaming + limiter options
Female;0;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);64.5;177.4;0;Orange Maroc;IT;645.0;1774.0;XL;0;32.99;50;0;0;0.2225;22.2;Moyen;661.31;645.85;0;RAS
Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110.5;6139.5;0;Orange Maroc;Commercial;1105.0;61395.0;XL;1;54.0;50;1;1;0.125;12.5;Faible;1197.08;1230.11;1;Vérifier roaming + limiter options
Female;0;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);55.65;2688.85;0;inwi;Commercial;556.5;26888.5;XL;0;29.76;50;0;0;0.05;5.0;Faible;543.34;556.62;0;RAS
Female;0;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;54.65;482.25;0;Maroc Telecom;Direction;546.5;4822.5;XL;1;29.9;50;0;0;0.08;8.0;Faible;666.64;623.37;0;RAS
Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74.75;2111.3;0;Maroc Telecom;IT;747.5;21113.0;XL;0;39.28;50;0;0;0.0825;8.2;Faible;726.43;747.99;0;RAS
Female;0;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);25.9;1216.6;0;Maroc Telecom;Commercial;259.0;12166.0;M;0;9.97;12;0;0;0.01;1.0;Faible;242.68;257.97;0;RAS
Female;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79.35;79.35;1;inwi;Support;793.5;793.5;XL;0;43.1;50;0;0;0.9125;91.2;Critique;788.95;794.88;1;Surveiller la ligne + analyser causes
Female;0;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;50.55;565.35;0;Orange Maroc;RH;505.5;5653.5;XL;0;24.24;50;0;0;0.135;13.5;Faible;479.99;505.85;0;RAS
Female;0;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75.15;496.9;1;Maroc Telecom;Commercial;751.5;4969.0;XL;1;37.53;50;0;0;0.83;83.0;Critique;774.42;827.98;1;Surveiller la ligne + analyser causes
Female;0;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.8;4327.5;0;Maroc Telecom;IT;1038.0;43275.0;XL;0;45.27;50;0;0;0.1075;10.8;Faible;1005.41;1036.85;0;RAS
Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20.15;973.35;0;Maroc Telecom;Finance;201.5;9733.5;M;0;8.68;12;0;0;0.0;0.0;Faible;201.2;200.64;0;RAS
Male;0;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.3;918.75;0;Maroc Telecom;Finance;993.0;9187.5;XL;1;48.24;50;0;0;0.6475;64.8;Élevé;1074.77;1069.26;1;Surveiller la ligne + analyser causes
Female;0;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);62.15;2215.45;0;Orange Maroc;Direction;621.5;22154.5;XL;0;32.43;50;0;0;0.015;1.5;Faible;621.98;621.77;0;RAS
Female;0;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.65;1057.0;0;Orange Maroc;Finance;206.5;10570.0;M;0;8.75;12;0;0;0.005;0.5;Faible;207.02;205.63;0;RAS
Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.95;927.1;0;inwi;Commercial;199.5;9271.0;M;0;5.11;12;0;0;0.0025;0.2;Faible;194.11;198.12;0;RAS
Male;0;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;33.75;1009.25;0;Orange Maroc;Commercial;337.5;10092.5;L;0;17.61;25;0;0;0.1;10.0;Faible;352.15;337.55;0;RAS
Male;0;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);82.05;2570.2;0;Maroc Telecom;IT;820.5;25702.0;XL;0;40.27;50;0;0;0.08;8.0;Faible;819.72;820.56;0;RAS
Male;1;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;74.7;74.7;0;Orange Maroc;Commercial;747.0;747.0;XL;0;35.16;50;0;0;0.2025;20.2;Moyen;730.51;747.42;0;RAS
Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84.0;5714.25;0;inwi;Support;840.0;57142.5;XL;1;42.26;50;0;0;0.025;2.5;Faible;893.35;915.29;0;RAS
Female;0;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);111.05;7107.0;0;Orange Maroc;Support;1110.5;71070.0;XL;0;50.19;50;1;0;0.0825;8.2;Faible;1175.92;1158.89;1;Proposer forfait supérieur
Male;0;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);100.9;7459.05;0;inwi;Commercial;1009.0;74590.5;XL;1;52.31;50;1;1;0.0475;4.8;Faible;1164.9;1134.27;1;Vérifier roaming + limiter options
Female;0;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78.95;927.35;1;Orange Maroc;Commercial;789.5;9273.5;XL;0;38.93;50;0;0;0.8125;81.2;Critique;775.39;789.97;1;Surveiller la ligne + analyser causes
Male;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);66.85;4748.7;0;Orange Maroc;IT;668.5;47487.0;XL;0;32.62;50;0;0;0.02;2.0;Faible;666.93;667.64;0;RAS
